,overall_qual_x,gr_liv_area_x,garage_area_x,garage_cars_x,total_bsmt_sf_x,1st_flr_sf_x,year_built_x,year_remod/add_x,full_bath_x,garage_yr_blt_x,mas_vnr_area_x,totrms_abvgrd_x,fireplaces_x,ms_subclass_x,open_porch_sf_x,wood_deck_sf_x,lot_area_x,bsmt_full_bath_x,half_bath_x,2nd_flr_sf_x,bsmt_unf_sf_x,bedroom_abvgr_x,screen_porch_x,overall_cond_x,saleprice_x
45,8,1873,786.0,2.0,608.0,983,1935,1950,1,1935.0,40.0,9,2,70,0,0,9670,0.0,1,890,398.0,4,0,6,257076
46,5,1604,660.0,2.0,984.0,984,1941,1960,2,1977.0,0.0,6,0,50,68,0,10998,0.0,0,620,156.0,3,0,5,117000
47,7,1502,270.0,1.0,776.0,851,1931,2000,1,1931.0,0.0,6,1,70,0,0,7200,0.0,1,651,776.0,3,0,6,149000
48,5,1063,280.0,1.0,1056.0,1063,1954,1954,1,1954.0,110.0,6,0,20,0,0,9920,1.0,0,0,412.0,3,0,5,128000
49,7,1626,474.0,2.0,764.0,764,2003,2004,2,2003.0,106.0,6,0,160,27,0,2448,0.0,1,862,764.0,2,0,5,155000
50,6,1524,440.0,2.0,756.0,768,2000,2000,2,2000.0,513.0,4,0,160,32,0,2998,0.0,1,756,403.0,2,0,5,166000
51,4,1981,576.0,2.0,1122.0,1328,1928,1950,2,1981.0,0.0,7,2,50,44,431,7804,1.0,0,653,500.0,4,0,3,135000
52,7,2784,564.0,2.0,1392.0,1392,1978,1978,3,1978.0,184.0,12,2,60,112,0,16692,1.0,1,1392,133.0,5,440,5,250000
53,4,1092,0.0,0.0,546.0,546,1970,1970,1,1980.0,0.0,5,0,160,26,200,1476,0.0,1,546,370.0,3,0,7,76000
54,6,1575,400.0,2.0,216.0,1575,1951,1951,1,1951.0,522.0,5,1,20,0,0,10170,0.0,1,0,216.0,2,0,6,155000
55,6,1352,299.0,1.0,663.0,663,1969,1969,1,1969.0,143.0,7,0,60,36,379,9364,0.0,1,689,292.0,4,0,7,158000
56,7,1200,480.0,2.0,600.0,600,2004,2005,2,2004.0,0.0,4,0,160,172,0,2544,1.0,1,600,190.0,2,0,5,149500
57,5,936,240.0,1.0,936.0,936,1954,1975,1,1954.0,0.0,5,0,20,0,0,9888,0.0,0,0,450.0,2,0,6,121000
58,6,1040,293.0,1.0,1040.0,1040,1953,1953,1,1953.0,0.0,6,0,20,0,0,7942,0.0,0,0,0.0,3,0,7,136000
59,6,1636,386.0,2.0,916.0,916,1996,1996,2,1996.0,0.0,7,1,60,84,168,15038,0.0,1,720,778.0,3,0,5,173000
60,8,2270,671.0,3.0,1152.0,1164,1999,2007,2,1999.0,348.0,9,1,60,57,132,11764,0.0,1,1106,628.0,4,0,7,290000
61,8,2610,550.0,2.0,1184.0,1184,2007,2007,2,2007.0,0.0,11,1,60,364,208,9000,0.0,1,1426,1120.0,4,0,5,303477
62,7,1483,690.0,2.0,1420.0,1483,1977,2001,1,1977.0,0.0,4,2,20,0,496,20062,1.0,1,0,328.0,1,0,7,270000
63,5,1740,225.0,1.0,936.0,960,1920,1950,1,1920.0,0.0,6,1,50,0,0,7308,0.0,0,780,576.0,2,0,5,122250
64,5,1382,350.0,1.0,1382.0,1382,1955,1955,1,1955.0,0.0,6,0,20,0,280,8750,0.0,0,0,727.0,3,0,5,153000
65,5,1120,0.0,0.0,1120.0,1120,2007,2007,1,1980.0,0.0,6,0,20,30,0,8402,0.0,0,0,914.0,3,0,5,147000
66,7,1098,216.0,1.0,531.0,567,1930,1995,1,1930.0,0.0,5,1,70,0,0,4000,1.0,0,531,285.0,2,0,8,148500
67,7,1708,380.0,2.0,976.0,976,2004,2004,2,2004.0,117.0,7,0,160,40,0,3363,0.0,0,732,976.0,3,0,5,130000
68,9,1802,843.0,3.0,1802.0,1802,2006,2006,2,2006.0,510.0,7,1,20,105,158,13615,0.0,1,0,1802.0,3,0,5,372000
69,7,1506,440.0,2.0,1362.0,1506,2005,2005,2,2005.0,145.0,6,1,120,20,142,3013,0.0,0,0,1346.0,2,0,5,213490
70,7,1508,572.0,2.0,1508.0,1508,2009,2010,1,2009.0,96.0,5,2,20,0,0,17485,1.0,0,0,162.0,1,0,5,308030
71,7,2032,786.0,3.0,1840.0,2032,1996,1997,3,1996.0,668.0,7,0,20,46,0,23730,1.0,0,0,1140.0,3,0,5,300000
72,6,1194,539.0,2.0,655.0,1194,1959,1959,1,1954.0,0.0,6,1,20,0,0,8910,0.0,0,0,0.0,3,0,6,159500
73,7,1709,380.0,2.0,970.0,970,2004,2004,2,2004.0,50.0,7,0,160,40,0,2522,0.0,0,739,970.0,3,0,5,137500
74,7,1616,834.0,3.0,1616.0,1616,2005,2005,2,2005.0,228.0,7,0,20,59,208,8688,0.0,0,0,1616.0,3,0,5,232000
75,6,768,440.0,2.0,768.0,768,1930,1950,1,1930.0,0.0,4,0,30,0,0,6291,0.0,0,0,768.0,1,0,6,93850
76,5,872,322.0,1.0,872.0,872,1924,1950,1,1924.0,65.0,5,1,30,0,0,17529,0.0,0,0,872.0,2,0,5,105000
77,4,520,240.0,1.0,520.0,520,1927,1950,1,1920.0,0.0,4,0,30,0,49,6324,0.0,0,0,520.0,1,0,6,68500
78,5,2274,480.0,2.0,1105.0,1105,1960,1960,2,1960.0,361.0,12,0,90,0,0,11600,0.0,0,1169,662.0,5,0,5,154300
79,5,1601,0.0,0.0,936.0,936,1925,2003,2,1980.0,0.0,6,0,50,0,0,7288,0.0,0,665,936.0,3,0,7,129850
80,5,1232,480.0,2.0,616.0,616,1910,1950,1,1920.0,0.0,6,0,70,0,280,4571,0.0,0,616,448.0,3,0,7,114000
81,9,2234,1166.0,3.0,2216.0,2234,2008,2009,2,2009.0,748.0,9,1,20,60,0,17423,1.0,0,0,312.0,1,0,5,501837
82,5,1416,720.0,3.0,876.0,876,1915,1950,1,1949.0,0.0,7,1,50,0,418,12665,0.0,1,540,876.0,4,0,8,153900
83,4,864,576.0,2.0,864.0,864,1971,2006,1,1986.0,0.0,5,0,20,0,200,9000,0.0,0,0,624.0,3,0,7,130000
84,6,1189,392.0,2.0,1189.0,1189,1997,1997,2,1997.0,197.0,4,0,120,122,0,4500,1.0,0,0,325.0,2,0,5,160500
85,9,1666,575.0,2.0,1666.0,1666,2006,2006,2,2006.0,572.0,6,1,120,75,228,6373,1.0,0,0,1251.0,2,0,5,310090
86,7,1200,555.0,2.0,1176.0,1200,2003,2003,2,2003.0,0.0,5,0,20,41,0,10083,1.0,0,0,343.0,2,0,5,184900
87,5,928,252.0,1.0,928.0,928,1956,2000,1,1956.0,0.0,4,0,20,0,261,13300,0.0,0,0,551.0,2,0,7,132000
88,5,1336,502.0,2.0,1288.0,1336,1969,1969,2,1969.0,128.0,6,1,20,11,312,9600,0.0,0,0,588.0,3,0,5,163000
89,7,1200,480.0,2.0,600.0,600,2004,2004,2,2004.0,120.0,4,0,160,172,0,3215,0.0,1,600,320.0,2,0,5,155000
90,6,1427,516.0,2.0,1427.0,1427,1969,1969,2,1969.0,0.0,7,0,80,0,0,11104,0.0,0,0,599.0,4,216,6,183000
91,7,1992,608.0,2.0,860.0,1212,1996,2002,2,1996.0,254.0,7,2,60,32,225,15295,1.0,1,780,98.0,3,0,5,211000
92,7,1540,495.0,2.0,754.0,754,1994,1994,2,1994.0,0.0,6,0,60,32,140,9109,1.0,1,786,122.0,3,0,5,184000
93,5,1535,400.0,2.0,0.0,1535,1979,1979,2,1979.0,0.0,8,0,90,0,0,7018,0.0,0,0,0.0,4,0,5,118858
94,5,1152,484.0,2.0,1152.0,1152,1964,1964,1,1964.0,86.0,6,1,80,0,227,14112,1.0,0,0,138.0,3,0,7,180500
95,8,1151,484.0,2.0,1141.0,1151,2006,2007,2,2006.0,30.0,5,0,120,60,0,3523,1.0,0,0,1081.0,2,0,5,166000
96,6,1138,480.0,2.0,1138.0,1138,1960,1960,1,1960.0,54.0,6,1,80,0,0,15312,0.0,0,0,550.0,3,140,5,148000
97,5,1074,396.0,2.0,894.0,1074,1956,1956,1,1966.0,0.0,6,1,20,72,0,7450,0.0,0,0,250.0,2,0,5,124000
98,9,1561,556.0,2.0,1561.0,1561,2005,2005,2,2005.0,246.0,6,1,120,47,203,7313,1.0,0,0,408.0,2,0,5,277500
99,8,2726,725.0,3.0,1342.0,1358,1995,1995,2,1995.0,397.0,9,1,60,169,307,10019,0.0,1,1368,815.0,4,0,5,350000
100,9,1884,670.0,3.0,1884.0,1884,2004,2004,2,2004.0,296.0,7,1,20,76,214,15401,1.0,0,0,547.0,2,0,5,387000
101,4,605,0.0,0.0,528.0,605,1920,2002,1,1980.0,0.0,5,0,30,0,0,9098,1.0,0,0,180.0,2,0,7,86000
102,8,1671,550.0,2.0,1426.0,1671,1976,2007,3,1976.0,0.0,6,1,20,90,280,16280,1.0,0,0,0.0,3,0,9,290000
103,3,797,0.0,0.0,245.0,797,1900,1950,1,1980.0,0.0,5,0,30,36,0,9392,0.0,0,0,245.0,2,0,3,44000
104,6,1961,560.0,2.0,804.0,804,2001,2002,2,2001.0,0.0,7,1,60,192,125,12209,1.0,1,1157,114.0,3,0,5,215000
105,5,1193,501.0,2.0,1153.0,1193,1972,1972,2,1972.0,144.0,6,0,190,153,140,13110,1.0,0,0,191.0,2,0,6,146500
106,7,1382,490.0,2.0,673.0,673,2000,2000,2,2000.0,0.0,6,0,160,50,153,2651,1.0,1,709,32.0,3,0,5,165000
107,6,2526,216.0,1.0,714.0,1664,1916,1950,2,1916.0,0.0,10,1,50,15,88,8520,0.0,0,862,0.0,5,0,7,136000
108,6,1390,550.0,2.0,1705.0,1390,1957,1957,1,1957.0,902.0,4,2,20,189,0,39384,1.0,1,0,595.0,1,0,6,252000
109,7,1626,474.0,2.0,764.0,764,2003,2003,2,2003.0,106.0,6,0,160,27,0,2628,0.0,1,862,764.0,2,0,5,175500
110,5,1558,400.0,2.0,690.0,868,1939,1950,1,1939.0,0.0,7,1,70,36,0,6406,0.0,1,690,269.0,3,182,6,150000
111,5,1422,286.0,1.0,978.0,1422,1960,1978,1,1960.0,0.0,6,1,20,0,0,12342,0.0,0,0,978.0,3,0,5,139900
112,5,1573,360.0,2.0,1078.0,1128,1930,1992,2,1930.0,0.0,8,1,50,0,0,6240,0.0,0,445,1078.0,3,0,7,162900
113,6,1116,440.0,2.0,1116.0,1116,1962,1962,1,1962.0,261.0,5,0,20,0,0,10000,0.0,1,0,1116.0,3,385,6,160000
114,2,660,0.0,0.0,0.0,660,1947,1950,1,1980.0,0.0,5,0,20,0,0,9000,0.0,0,0,0.0,2,0,2,63900
115,6,1707,479.0,2.0,1140.0,1707,1978,1998,2,1978.0,144.0,7,1,20,0,0,11088,0.0,0,0,308.0,3,0,5,184000
116,5,1466,528.0,2.0,1466.0,1466,1959,1959,1,1959.0,132.0,6,2,20,140,0,17755,0.0,1,0,1290.0,3,100,4,149900
117,9,1638,495.0,2.0,1614.0,1638,2000,2000,2,2000.0,260.0,5,1,120,68,230,4765,1.0,0,0,587.0,2,0,5,300000
118,5,1721,626.0,2.0,988.0,1721,1960,1960,2,1960.0,275.0,7,2,190,84,50,10532,1.0,0,0,0.0,3,0,3,145000
119,6,1764,470.0,2.0,928.0,928,1997,1997,2,1997.0,0.0,7,0,60,99,276,15426,1.0,1,836,107.0,3,0,5,231500
120,5,996,0.0,0.0,996.0,996,1940,1969,1,1980.0,0.0,6,1,30,0,144,13907,1.0,0,0,706.0,3,0,6,108000
121,5,1202,304.0,1.0,1202.0,1202,1956,1956,1,1956.0,0.0,6,0,20,35,0,8750,0.0,0,0,565.0,3,0,5,120000
122,5,988,572.0,2.0,988.0,988,1961,1961,1,1963.0,57.0,5,0,20,0,0,9945,1.0,0,0,161.0,3,0,5,128500
123,5,1028,360.0,2.0,1008.0,1028,1927,1950,1,1927.0,0.0,5,1,30,0,0,8960,0.0,0,0,1008.0,2,0,6,115000
124,5,1284,240.0,1.0,720.0,720,1947,1950,1,1948.0,0.0,5,0,50,35,0,3500,0.0,1,564,408.0,2,0,7,110000
125,9,2944,864.0,3.0,994.0,1599,1977,1977,2,1977.0,1050.0,9,1,60,70,140,24572,0.0,2,1345,584.0,3,0,3,150000
126,8,1414,403.0,2.0,707.0,707,2004,2004,2,2004.0,0.0,6,1,60,35,100,9056,0.0,1,707,707.0,3,0,5,178000
127,7,1609,579.0,3.0,637.0,959,1932,1990,1,1963.0,0.0,8,2,70,0,0,12320,0.0,1,650,637.0,3,104,7,199500
128,6,1525,400.0,2.0,813.0,813,1997,1998,2,1997.0,0.0,6,1,60,72,421,8238,1.0,1,712,113.0,3,0,5,183500
129,5,1656,288.0,1.0,624.0,1092,1967,1967,1,1967.0,0.0,7,1,80,180,0,6000,0.0,1,564,367.0,3,100,5,126000
130,7,1055,440.0,2.0,1055.0,1055,1977,1977,2,1977.0,0.0,4,0,120,38,0,2529,0.0,0,0,677.0,2,0,6,148500
131,5,1352,720.0,2.0,676.0,676,1939,2006,2,1939.0,0.0,7,0,60,0,187,10800,0.0,0,676,676.0,4,0,7,149000
132,6,1456,440.0,2.0,855.0,855,1977,1977,2,1977.0,0.0,6,1,160,28,0,2349,0.0,1,601,466.0,3,0,5,137900
133,8,1719,473.0,2.0,1719.0,1719,1993,1993,1,1993.0,0.0,6,2,120,30,122,10846,2.0,1,0,100.0,1,0,5,324000
134,5,864,0.0,0.0,864.0,864,1925,1950,1,1980.0,0.0,5,0,30,0,0,5604,1.0,0,0,396.0,2,0,6,98000
135,6,987,264.0,1.0,483.0,483,1973,1973,1,1973.0,359.0,5,0,160,0,52,1680,0.0,1,504,25.0,2,0,5,103400
136,5,1020,0.0,0.0,780.0,780,1875,1996,1,1980.0,0.0,6,0,50,0,0,6342,0.0,0,240,780.0,2,0,8,94000
137,8,1554,627.0,2.0,1554.0,1554,2006,2006,2,2006.0,108.0,6,1,120,73,156,4590,0.0,0,0,1530.0,2,0,5,209500
138,10,3390,758.0,3.0,1528.0,1528,2006,2006,3,2006.0,662.0,10,1,60,34,204,18062,0.0,1,1862,1528.0,5,0,5,545224
139,6,1560,0.0,0.0,780.0,780,1912,2009,1,1980.0,0.0,7,0,70,0,344,12900,0.0,1,780,780.0,3,168,8,159900
140,4,864,400.0,2.0,864.0,864,1951,1951,1,1951.0,0.0,4,0,20,0,0,19138,0.0,0,0,744.0,2,0,5,141000
141,6,1889,431.0,2.0,982.0,1008,2000,2000,2,2000.0,0.0,9,1,60,0,0,8658,0.0,1,881,250.0,3,0,5,215000
142,5,1040,260.0,1.0,1040.0,1040,1962,2010,1,1962.0,0.0,6,0,20,104,0,6897,1.0,1,0,381.0,3,0,8,127000
143,5,1172,366.0,1.0,1172.0,1172,1954,1998,1,1954.0,0.0,5,0,20,0,240,9525,1.0,0,0,218.0,3,0,7,128000
144,8,1418,852.0,3.0,1642.0,1418,2010,2010,1,2010.0,0.0,6,1,20,192,160,12853,1.0,1,0,610.0,1,0,5,267916
145,6,1367,560.0,1.0,884.0,959,1931,1950,1,1978.0,0.0,6,1,50,0,0,6240,0.0,0,408,459.0,3,120,6,127500
146,7,1922,672.0,2.0,0.0,495,2003,2003,3,2003.0,500.0,7,1,85,0,0,7301,0.0,0,1427,0.0,4,0,5,198500
147,6,1422,576.0,2.0,1422.0,1422,1981,1981,2,1981.0,210.0,7,1,20,0,276,12090,0.0,0,0,606.0,3,0,6,175500
148,7,1842,486.0,2.0,985.0,985,2000,2000,2,2000.0,144.0,7,1,60,96,193,8826,1.0,1,857,144.0,3,0,5,217500
149,4,1962,572.0,2.0,888.0,888,1915,1950,1,1915.0,0.0,9,1,50,0,160,8094,0.0,1,1074,888.0,4,0,5,149500
150,5,1120,656.0,2.0,864.0,1120,1966,2004,1,1966.0,165.0,5,1,20,162,0,10710,0.0,0,0,220.0,3,0,7,148800
151,9,2868,716.0,3.0,1992.0,1992,2005,2006,3,2005.0,208.0,11,1,60,108,214,16056,0.0,1,876,1752.0,4,0,5,556581
152,6,1478,442.0,2.0,1478.0,1478,1957,1957,1,1957.0,0.0,6,2,20,0,114,8400,1.0,1,0,628.0,3,216,3,156500
153,7,1995,610.0,2.0,930.0,950,1995,1996,2,1995.0,0.0,8,1,60,170,275,11250,1.0,1,1045,245.0,4,0,5,237000
154,5,912,297.0,1.0,912.0,912,1958,1985,1,1958.0,0.0,5,0,20,285,12,7535,0.0,0,0,522.0,2,0,7,120000
155,6,1326,388.0,2.0,1326.0,1326,2005,2005,2,2005.0,0.0,6,0,20,23,120,12216,1.0,0,0,408.0,3,0,5,203000
156,8,1204,461.0,2.0,1191.0,1204,1987,1987,2,1987.0,0.0,5,0,120,70,120,3701,0.0,0,0,1191.0,2,0,5,130000
157,6,1611,442.0,2.0,780.0,798,1964,1964,1,1964.0,360.0,7,0,60,128,328,9760,1.0,1,813,0.0,4,189,6,167900
158,4,960,576.0,2.0,960.0,960,1970,1970,1,1970.0,160.0,6,0,190,288,0,9873,1.0,0,0,171.0,3,0,5,129000
159,5,1236,447.0,1.0,1070.0,1236,1957,1996,1,1957.0,64.0,6,1,20,0,0,10011,0.0,0,0,710.0,2,0,6,134450
160,5,1416,576.0,2.0,816.0,1416,1918,2007,2,2007.0,0.0,7,0,30,0,0,25339,0.0,0,0,816.0,3,0,7,112000
161,7,1873,619.0,2.0,929.0,946,1988,1988,2,1988.0,360.0,7,1,60,48,108,8883,1.0,1,927,0.0,3,144,5,207000
162,5,2128,0.0,0.0,1040.0,1088,1922,1950,2,1980.0,0.0,11,0,90,56,0,3000,0.0,0,1040,1040.0,4,0,1,62500
163,7,1626,474.0,2.0,764.0,764,2003,2004,2,2003.0,106.0,6,0,160,27,0,2448,1.0,1,862,191.0,2,0,5,154000
164,5,816,308.0,1.0,816.0,816,1957,1957,1,1957.0,0.0,5,0,20,0,0,7100,1.0,0,0,108.0,2,0,7,129900
165,5,1112,336.0,1.0,536.0,536,1976,1976,1,1976.0,0.0,4,0,160,0,182,2592,0.0,1,576,175.0,3,0,3,85000
166,7,1111,288.0,1.0,572.0,572,1926,1950,1,1982.0,0.0,5,1,50,0,0,5700,0.0,0,539,572.0,2,0,7,116900
167,6,1441,440.0,2.0,855.0,855,1978,1978,2,1978.0,0.0,7,1,160,0,28,2289,0.0,1,586,544.0,3,0,6,148500
168,4,924,280.0,1.0,672.0,672,1941,1950,1,1941.0,0.0,5,0,190,0,0,12180,1.0,0,252,324.0,2,0,4,80000
169,5,1126,506.0,2.0,1060.0,1126,1984,1984,1,1984.0,0.0,5,0,85,0,178,7400,1.0,0,0,0.0,2,0,5,152000
170,5,992,319.0,1.0,381.0,992,1954,1954,1,1954.0,0.0,6,0,20,0,60,8842,0.0,0,0,381.0,3,0,6,155891
171,6,1376,576.0,2.0,768.0,752,1920,1950,1,1977.0,0.0,7,0,50,54,0,8850,0.0,0,624,768.0,3,0,7,165000
172,7,1218,676.0,2.0,1218.0,1218,2009,2010,2,2009.0,0.0,4,0,20,136,0,9215,0.0,0,0,1218.0,2,0,5,204500
173,5,1644,312.0,1.0,728.0,888,1942,1995,1,1942.0,224.0,7,2,70,0,168,9480,0.0,1,756,342.0,3,0,7,146500
174,7,1601,478.0,2.0,1271.0,1601,1978,1978,2,1978.0,206.0,7,1,20,0,0,11880,0.0,0,0,567.0,3,0,5,157000
175,7,2495,342.0,2.0,1313.0,1313,1890,1999,2,1950.0,0.0,10,1,70,299,0,10800,0.0,0,1182,1313.0,5,0,7,184000
176,6,1509,393.0,2.0,783.0,807,2002,2003,2,2002.0,0.0,7,1,60,75,100,7861,1.0,1,702,326.0,3,0,5,183200
177,5,1092,288.0,1.0,1092.0,1092,1962,1962,1,1962.0,116.0,6,1,20,20,0,11616,0.0,0,0,252.0,3,0,5,139000
178,7,2418,983.0,3.0,1311.0,1325,1993,1994,2,1993.0,651.0,9,1,60,154,250,10542,1.0,1,1093,138.0,3,0,5,341000
179,6,987,264.0,1.0,483.0,483,1971,1971,1,1971.0,504.0,5,0,160,0,275,1680,0.0,1,504,327.0,2,0,5,96000
180,4,1121,440.0,2.0,1121.0,1121,2003,2004,2,2003.0,0.0,5,0,20,64,132,8546,0.0,0,0,1121.0,2,0,5,140000
181,6,1236,923.0,2.0,912.0,1236,1957,1996,1,1957.0,0.0,6,0,20,158,0,7407,1.0,0,0,312.0,2,0,7,149700
182,5,1074,495.0,2.0,1056.0,1074,1975,1975,1,1975.0,0.0,6,0,20,88,0,10140,1.0,1,0,268.0,3,0,6,153500
183,1,733,487.0,2.0,0.0,733,1952,1952,1,1952.0,0.0,4,0,20,0,0,14584,0.0,0,0,0.0,2,0,5,13100
184,7,1768,543.0,2.0,884.0,884,2003,2003,2,2003.0,252.0,8,0,60,63,0,8158,1.0,1,884,334.0,3,0,5,224900
